Enterprise Procurement & Vendor Performance Analytics,,,,,,,,,,
,,,,,,,,,,
Executive Summary,,,,,,,,,,
,,,,,,,,,,
Analysis Area,Summary,,,,,,,,,
Classification Analysis,"Sales performance analysed using Sales Quantity, Sales Price and Volume.",,,,,,,,,
City Analysis,Inventory distribution analysed using Total Inventory and Average Price.,,,,,,,,,
Item Category Analysis,Procurement categories analysed using Total Quantity and Average Unit Price.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Business Insights,,,,,,,,,,
,,,,,,,,,,
No.,Insight,,,,,,,,,
1,"Classification 1 contributes the highest sales quantity and sales volume, making it the strongest performing product segment.",,,,,,,,,
2,"Inventory levels vary significantly across cities, indicating opportunities for inventory balancing and warehouse optimization.",,,,,,,,,
3,"Average prices differ between cities, suggesting regional pricing or supplier cost variations.",,,,,,,,,
4,"Item Category analysis identifies categories with the highest procurement quantities, helping prioritize purchasing decisions.",,,,,,,,,
5,"The pivot summaries provide a clear business overview that supports procurement planning, inventory optimization and future Power BI dashboard development.",,,,,,,,,
