InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName
14_BROMWICH_8200,14,8200,Chambord Liqueur de France,50mL,1,3,3,1/16/2024,50,1,0,1128,BROWN-FORMAN CORP          
69_MOUNTMEND_21019,69,21019,Black Box Pnt Nr,3L,1,19,19,4/7/2024,3000,2,0,1392,CONSTELLATION BRANDS INC   
69_MOUNTMEND_7143,69,7143,Smirnoff Watermelon Vodka,1.75L,1,20,20,7/28/2024,1750,1,2,3960,DIAGEO NORTH AMERICA INC   
19_WINTERVALE_6590,19,6590,Almaden B/B Wh Znfdl Cal,5L,2,30,15,7/1/2024,5000,2,2,9815,WINE GROUP INC             
53_HILLFAR_34133,53,34133,Turning Leaf RSV Cab Svgn,1.5L,1,10,10,5/14/2024,1500,2,0,3252,E & J GALLO WINERY         
73_DONCASTER_26091,73,26091,Pacific Rim Rsl,750mL,1,9,9,8/26/2024,750,2,0,9165,ULTRA BEVERAGE COMPANY LLP 
66_EANVERNESS_3768,66,3768,Jenkins Vodka,750mL,2,12,6,7/5/2024,750,1,2,9552,M S WALKER INC             
10_HORNSEY_1375,10,1375,Jim Beam,750mL,2,30,15,11/30/2024,750,1,2,12546,JIM BEAM BRANDS COMPANY    
34_PITMERDEN_8421,34,8421,Beringer Classic Wh Znfdl,750mL,1,6,6,9/12/2024,750,2,0,9819,TREASURY WINE ESTATES      
42_BLACK HOLLOW_25202,42,25202,Rosenblum R Sauret Zinfandel,750mL,1,12,12,8/14/2024,750,2,0,1590,DIAGEO CHATEAU ESTATE WINES
10_HORNSEY_1634,10,1634,The Famous Grouse,1.75L,1,28,28,8/2/2024,1750,1,2,2561,EDRINGTON AMERICAS         
34_PITMERDEN_28214,34,28214,Lagaria Venezie Pnt Grigio,750mL,1,12,12,2/19/2024,750,2,0,4425,MARTIGNETTI COMPANIES
66_EANVERNESS_7891,66,7891,DeLeon Platinum Tequila,750mL,1,35,35,12/31/2024,750,1,1,3960,DIAGEO NORTH AMERICA INC   
63_SWORDBREAK_3876,63,3876,Smirnoff 80 Proof,1.75L,4,80,20,7/1/2024,1750,1,7,3960,DIAGEO NORTH AMERICA INC   
20_BREDWARDINE_2127,20,2127,Canadian Ltd,1.75L,5,52,10,9/24/2024,1750,1,9,660,SAZERAC NORTH AMERICA INC. 
73_DONCASTER_4198,73,4198,Sailor Jerry Spiced Navy Rum,1.75L,2,50,25,7/25/2024,1750,1,4,3664,WILLIAM GRANT & SONS INC   
