VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26,37,1750,145080,3811252,142049,672819,5101920,260999,68602,1290668,25,1,1
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23,29,1750,164038,3804041,160247,561512,4819073,294439,144929,1015032,21,1,1
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18,25,1750,187407,3418304,187140,461140,4538121,343854,123780,1119817,25,1,1
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16,23,1750,201682,3261198,200412,420050,4475973,368243,257032,1214775,27,1,1
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,22,30,1750,138109,3023206,135838,545778,4223108,249588,257032,1199902,28,1,1
480,BACARDI USA INC,3858,Grey Goose Vodka,18,24,750,138809,2466636,141860,446932,3383912,111699,89286,917276,27,1,1
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,31,40,1750,70783,2177285,69627,614529,2773368,127932,123780,596083,21,1,1
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,13,18,1750,161386,2088335,148265,292586,2592041,272423,257032,503707,19,1,1
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,21,28,1750,91835,1903740,90481,503661,2640491,166244,257032,736752,28,1,1
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16,22,1750,108866,1773427,107061,426903,2435393,196707,123881,661966,27,1,1
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16,23,750,93205,1530426,91247,436012,2148966,71841,123780,618539,29,1,1
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22,30,1750,66942,1498162,61433,442856,1840616,112875,257032,342454,19,1,1
480,BACARDI USA INC,2663,Dewars White Label,21,30,1750,69001,1478001,70122,495958,2189369,128839,89286,711367,32,1,1
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,7,11,750,215668,1460072,214238,189609,2326008,24084,17588,865935,37,1,2
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,34,49,750,42951,1452173,41639,662320,2009509,32783,68055,557335,28,1,1
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,45,60,1750,31596,1414553,28372,507291,1739044,52134,257032,324491,19,1,1
17035,PERNOD RICARD USA,5364,Kahlua,23,30,1750,60645,1399080,59771,504735,1844950,109817,123780,445870,24,1,1
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,22,34,1750,64249,1396131,65184,494488,2068091,119767,257032,671960,32,1,1
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,29,40,1750,47546,1373128,47966,596575,1884307,88130,257032,511179,27,1,1
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,17,22,1750,79078,1317439,79042,121065,1635667,145235,257032,318227,19,1,1
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22,30,1750,57349,1283471,56888,460088,1766391,104525,89286,482921,27,1,1
480,BACARDI USA INC,3857,Grey Goose Vodka,38,50,1750,33388,1277759,32945,589138,1699670,60533,89286,421911,25,1,1
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,20,25,1750,61936,1208991,61323,392354,1528730,112669,18544,319740,21,1,1
480,BACARDI USA INC,126,Grey Goose Vodka,20,33,1000,59878,1205943,58013,294049,1736611,60914,89286,530668,31,1,1
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,12,17,1750,101480,1193405,98938,306440,1624367,181782,123881,430962,27,1,1
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12,17,1750,97473,1190145,94960,307670,1554498,174472,123881,364353,23,1,1
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,20,26,1750,59088,1163443,58610,431498,1549702,107685,38995,386259,25,1,1
480,BACARDI USA INC,4243,Bacardi Superior Rum,14,20,1750,76389,1106877,77041,342679,1657810,141552,89286,550933,33,1,1
